epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
0;0.6;2.0;0.2874933933929848
1;0.5759300484132023;1.896791940751792;0.2993444775051082
2;0.5528257011087225;1.7989098332504747;0.49147637180051346
3;0.5306482213393484;1.7060788369243254;0.23855764801410417
4;0.5093604263439178;1.6180382940826255;0.2751591644269609
5;0.48892662500670314;1.534540998021851;0.2396453725446611
6;0.46931255801769023;1.4553524989005293;0.3364730338871085
7;0.4504853404334202;1.3802504454337525;0.2324251692968816
8;0.4324134065420961;1.3090239605589065;0.1997428126821756
9;0.41506645694051186;1.2414730493195627;0.27198843277300805
10;0.3984154077340755;1.1774080373049491;0.24776636936616694
11;0.38243234177475316;1.1166490380682066;0.30599089147146796
12;0.36709046185517985;1.0590254480280075;0.23651918577911252
13;0.35236404578046415;1.0043754674352903;0.1967397404656465
14;0.3382284032423576;0.9525456460600361;0.22128468328687456
15;0.32465983442348517;0.9033904523224429;0.2876896674601608
16;0.3116355902622334;0.8567718646586627;0.20377385343282303
17;0.29913383431167495;0.8125589839737183;0.36616920078439025
18;0.28713360612858296;0.7706276660934067;0.2492661925768036
19;0.2756147861311536;0.7308601731831684;0.20488238653228433
20;0.26455806186651615;0.6931448431551464;0.29070890986822745
21;0.253944895631476;0.6573757761351733;0.2141051796137888
22;0.24375749339220262;0.6234525371093255;0.19083998966623458
23;0.23397877495075348;0.5912798739151129;0.19646438265411012
24;0.22459234530841538;0.5607674497854611;0.21293489646925554
25;0.2155824671778505;0.5318295896944989;0.19036569215807753
26;0.20693403459796175;0.5043850397929288;0.20266983017909332
27;0.19863254760723897;0.47835673925749966;0.1999128364695591
28;0.19066408793312473;0.4536716039139658;0.2080500461746228
29;0.18301529565663935;0.43026032102597483;0.21809539420940388
30;0.1756733468131414;0.4080571546736739;0.19015475451655625
31;0.16862593189166963;0.38699976117556606;0.2069831926792963
32;0.16186123519681775;0.36702901403534094;0.21019707923623063
33;0.15536791503853992;0.3480888379221555;0.2143011403991833
34;0.14913508471667433;0.33012605121820066;0.1988017347482118
35;0.14315229426830214;0.3130902166914482;0.19711697063728614
36;0.13740951294734038;0.2969334998742856;0.19123269729349388
37;0.13189711240699384;0.28161053475038406;0.20727495890824754
38;0.12660585055686924;0.26707829637266545;0.19528447778348487
39;0.12152685606768725;0.25329598005469517;0.2023346251604875
40;0.11665161349761229;0.24022488679628623;0.19603955629387068
41;0.11197194901526338;0.2278283146216037;0.2006471448546836
42;0.10748001669546876;0.21607145552466075;0.196926008668377
43;0.10316828536478852;0.20492129773284287;0.1889066694389944
44;0.09902952597474952;0.1943465330140274;0.19971769640164766
45;0.09505679948162328;0.18431746876702962;0.19061411675749426
46;0.09124344521242558;0.17480594464853597;0.20340386015760525
47;0.08758306969763274;0.16578525350242346;0.19724092075647534
48;0.08406953595189083;0.1572300663694448;0.19136695300823614
49;0.08069695318474655;0.14911636136671613;0.18937561592734423
50;0.07745966692414832;0.1414213562373095;0.19136520130204535
51;0.07435224953615878;0.13412344438055843;0.1922056648456256
52;0.07136949112498404;0.12720213418345722;0.2000633436077429
53;0.06850639079806278;0.12063799148280482;0.1854969120162685
54;0.06575814828157009;0.11441258499653376;0.19749292790775883
55;0.06312015587227866;0.1085084345710023;0.19124651600207787
56;0.060587990712283865;0.10290896209893514;0.1888448340580904
57;0.05815740737364052;0.09759844497019594;0.18621478046554982
58;0.05582433074047852;0.09256197192468747;0.18744306123627555
59;0.05358484917666402;0.08778540118342042;0.18646203601178898
60;0.05143520796755042;0.08325532074018732;0.19099948215658316
61;0.049371803024824065;0.07895901070234641;0.18474937213551135
62;0.047391174843890015;0.07488440757497258;0.18272964577822046
63;0.04549000270366685;0.07102007038809022;0.18993110296929522
64;0.043665099099065914;0.06735514857187726;0.18784949894092542
65;0.041913404396820515;0.06387935148963816;0.190617983435771
66;0.04023198170570494;0.060582919542998326;0.18601979167759342
67;0.03861801195254286;0.05745659676818673;0.18248999000875374
68;0.03706878915574938;0.05449160484646102;0.18485700588695125
69;0.035581715888482565;0.0516796184556993;0.18910070531701484
70;0.03415429892379762;0.049012741893949004;0.18734865944724857
71;0.03278414505450291;0.046483486909295095;0.1817155651458727
72;0.03146895708070884;0.04408475167379618;0.187185085882707
73;0.030206529958342714;0.041809800842450326;0.1958455056215109
74;0.02899474710217194;0.03965224664119863;0.18405038352964262
75;0.027831576837137408;0.03760603093086393;0.1848117921481468
76;0.026715068992047175;0.03566540819666266;0.18653834032459166
77;0.02564335162991961;0.03382492941552632;0.1847012336950451
78;0.024614627909493956;0.03207942675593427;0.1838565272813377
79;0.023627173072646352;0.030423999067296762;0.18589066610634558
80;0.02267933155266054;0.028853998118144264;0.18562106510874918
81;0.02176951419850475;0.027365015544481706;0.18429520820309295
82;0.020896195610461236;0.02595287047166022;0.1853908003984198
83;0.02005791158264114;0.02461359777501013;0.18213806199403226
84;0.01925325664809707;0.023343436946272726;0.1836130441725752
85;0.018480881722417256;0.022138821534568864;0.18392848679752274
86;0.017739491841850728;0.02099636913225622;0.18413322996567086
87;0.01702784399217116;0.019912871877556644;0.18557963197286767
88;0.01634474502463932;0.018885287447286223;0.184644536076449
89;0.01568904965556995;0.017910730514396744;0.18345995612437516
90;0.015059658546149225;0.016986464646342472;0.1840385265073022
91;0.014455516459283365;0.016109894621523818;0.181939071533976
92;0.013875610490388183;0.015278559142233509;0.18385060969690678
93;0.013318968369153339;0.014490123923644065;0.18430467317234328
94;0.012784656829433994;0.013742375139431405;0.18270339222229826
95;0.012271780044536827;0.013033213205630636;0.18484489363678824
96;0.01177947812527711;0.01236064688527001;0.18423823233983724
97;0.011306925678288502;0.011722787697229446;0.18461344082696496
98;0.01085333042216863;0.011117844613624535;0.18544278905301326
99;0.0104179318591401;0.01054411903082687;0.18367065121570528
