epoka;błąd kwantyzacji
1;2.0909222104147194
2;1.9858894297799314
3;1.9239406527472958
4;1.891423103005562
5;1.873507711751592
6;1.8631918685552786
7;1.8545072888120444
8;1.848979750674179
9;1.8451067379976627
10;1.8411439879242204
11;1.8372835936761065
12;1.8328241702231662
13;1.8283441609021451
14;1.8240060928133195
15;1.8207721655318638
16;1.818332156211637
17;1.8162548453109049
18;1.8138306707039744
19;1.8112882967859463
20;1.8088362538221547
21;1.8063310474898135
22;1.8036605885154944
23;1.8013135938089946
24;1.7992657708925017
25;1.7972059460465297
26;1.7948203601491692
27;1.7921995399473512
28;1.7897797813503087
29;1.787808420951866
30;1.7860161678064654
31;1.7843227199232978
32;1.782712932888707
33;1.7812241440062988
34;1.7797720367086411
35;1.7784507747486211
36;1.7775038877092424
37;1.7768276485279357
38;1.7763880853963034
39;1.7759738931708162
40;1.775590870136957
41;1.7751615471533575
42;1.774832900713019
43;1.7743446095901036
44;1.7740580766441438
45;1.7737947320703888
46;1.7734766070899466
47;1.773232436816696
48;1.773035950090324
49;1.7729713853438862
50;1.77287483832442
51;1.772766786336245
52;1.772493038222872
53;1.7722519717220724
54;1.7720981165526015
55;1.7719927076369324
56;1.771945513344837
57;1.7719155352970342
58;1.7718308891525458
59;1.7717472207750247
60;1.7716975562967239
61;1.771662265508121
62;1.7716193068360417
63;1.771627072500541
64;1.7716054234306253
65;1.7715759093384937
66;1.7715710370439557
67;1.7715654321548369
68;1.7715613428902035
69;1.7715606691808101
70;1.7715583799790118
71;1.7715756796599758
72;1.7716061180172444
73;1.7716208722372921
74;1.7716326395169815
75;1.7716830794224205
76;1.7717178915377674
77;1.7717566924519426
78;1.7717759888689957
79;1.7717506835866335
80;1.7717341850551214
81;1.7717615269967106
82;1.7717880781787476
83;1.7718231189709188
84;1.7718206243030954
85;1.771818346888689
86;1.7718386270127604
87;1.7718984181736697
88;1.7719719548950874
89;1.7720273529155388
90;1.7720897185999427
91;1.7720845876692046
92;1.7720416517936373
93;1.7719687715810801
94;1.771948446486086
95;1.771924097906386
96;1.7719839943506337
97;1.7720261530009844
98;1.7720340374050594
99;1.772031598821288
100;1.7720282431662018
101;1.7720067239925
102;1.7719883107203862
103;1.772031080903137
104;1.7720504780228712
105;1.7720890966019605
106;1.7721113868612326
107;1.772111069706172
108;1.7721122432686995
109;1.7721319925688377
