epoka;błąd kwantyzacji
1;0.8258500299319455
2;0.7653439382618452
3;0.7337246758420098
4;0.7163154040197851
5;0.708792202736882
6;0.7055074567466868
7;0.7026214011036463
8;0.6998562643335986
9;0.6986275586472173
10;0.6980154062555552
11;0.6978531145655942
12;0.697947500262444
13;0.6979489741362755
14;0.697908949902502
15;0.6978014131529393
16;0.6975407824570733
17;0.6972280399919567
18;0.6973919685184835
19;0.6975683868836313
20;0.697752768790551
21;0.6978638694350493
22;0.6978846286674407
23;0.6979695318943443
24;0.6980424077637303
25;0.6980627175758553
26;0.6980766875657072
27;0.6980795923102451
28;0.6980912033121112
29;0.69811147971182
30;0.6981149024424473
31;0.6981415370734965
32;0.6982131516424428
33;0.6982776137044417
34;0.6983247975798529
35;0.6983685858145813
36;0.698381183259028
37;0.6983851845064017
