epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
4;0.5093604263439178;0.09607894391523232;1.160517422123038
5;0.48892662500670314;0.09512294245007141;1.2184409029431322
6;0.46931255801769023;0.09417645335842488;1.2159395980834766
7;0.4504853404334202;0.09323938199059484;1.207091937467252
8;0.4324134065420961;0.09231163463866358;1.144105611235725
9;0.41506645694051186;0.09139311852712283;1.152291139927441
10;0.3984154077340755;0.09048374180359596;1.1641498357501632
11;0.38243234177475316;0.08958341352965282;1.1621900690559104
12;0.36709046185517985;0.08869204367171575;1.1552742561205755
13;0.35236404578046415;0.08780954309205613;1.1587234817250753
14;0.3382284032423576;0.0869358235398806;1.1451552544523558
15;0.32465983442348517;0.08607079764250579;1.1715744196497795
16;0.3116355902622334;0.08521437889662115;1.1550408363365878
17;0.29913383431167495;0.08436648165963838;1.1755024796576319
18;0.28713360612858296;0.0835270211411272;0.8031922744074342
19;0.2756147861311536;0.08269591339433624;0.7848920618522917
20;0.26455806186651615;0.0818730753077982;0.7862052903864896
21;0.253944895631476;0.08105842459701872;0.7004121345050258
22;0.24375749339220262;0.08025187979624786;0.74144246115794
23;0.23397877495075348;0.07945336025033341;0.921538228513619
24;0.22459234530841538;0.07866278610665535;0.6353950784030992
25;0.2155824671778505;0.0778800783071405;0.5554854997376452
26;0.20693403459796175;0.07710515858035663;0.5455460108553923
27;0.19863254760723897;0.07633794943368533;0.5318831245873142
28;0.19066408793312473;0.07557837414557256;0.5424643509083511
29;0.18301529565663935;0.07482635675785652;0.5360928078598537
30;0.1756733468131414;0.0740818220681718;0.49102012628331676
31;0.16862593189166963;0.07334469562242893;0.4999983822418964
32;0.16186123519681775;0.0726149037073691;0.4906820585573896
33;0.15536791503853992;0.07189237334319262;0.5001960200193086
34;0.14913508471667433;0.07117703227626097;0.505418883753301
35;0.14315229426830214;0.07046880897187134;0.44446309119578375
36;0.13740951294734038;0.0697676326071031;0.44081484058044285
37;0.13189711240699384;0.06907343306373546;0.4403216103644032
38;0.12660585055686924;0.06838614092123559;0.47900930121440927
39;0.12152685606768725;0.06770568744981646;0.4750024378768974
40;0.11665161349761229;0.06703200460356394;0.4738388709259929
41;0.11197194901526338;0.06636502501363194;0.42940888338527045
42;0.10748001669546876;0.06570468198150568;0.4247162178833908
43;0.10316828536478852;0.06505090947233165;0.46860151994905147
44;0.09902952597474952;0.06440364210831415;0.4548952928834728
45;0.09505679948162328;0.06376281516217734;0.4376832855591737
46;0.09124344521242558;0.0631283645506926;0.43019642747656245
47;0.08758306969763274;0.06250022682827008;0.4354747163728279
48;0.08406953595189083;0.061878339180614084;0.44428599810320235
49;0.08069695318474655;0.061262639418441615;0.4337323348015067
50;0.07745966692414832;0.06065306597126335;0.44708049053605436
51;0.07435224953615878;0.060049557881226595;0.4276162389733376
52;0.07136949112498404;0.05945205479701944;0.4456505847038978
53;0.06850639079806278;0.05886049696783552;0.43937039127120925
54;0.06575814828157009;0.058274825237398964;0.4306155685334817
55;0.06312015587227866;0.05769498103804867;0.45465747071166923
56;0.060587990712283865;0.05712090638488149;0.4242143171968069
57;0.05815740737364052;0.05655254386995371;0.4365159875814616
58;0.05582433074047852;0.055989836656540205;0.4232879189879493
