epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
0;0.6;0.1;0.9925454611295291
1;0.5759300484132023;0.09900498337491681;0.9912497231910676
2;0.5528257011087225;0.09801986733067553;1.0111616633903409
3;0.5306482213393484;0.09704455335485082;0.9978918113026571
4;0.5093604263439178;0.09607894391523232;0.9899924781036685
5;0.48892662500670314;0.09512294245007141;0.9917707100456109
6;0.46931255801769023;0.09417645335842488;0.9902980477828759
7;0.4504853404334202;0.09323938199059484;0.40556373536845364
8;0.4324134065420961;0.09231163463866358;0.9970262718770864
9;0.41506645694051186;0.09139311852712283;0.9888234212771221
10;0.3984154077340755;0.09048374180359596;1.0124541745902904
11;0.38243234177475316;0.08958341352965282;0.9852113618279019
12;0.36709046185517985;0.08869204367171575;0.4576378320592404
13;0.35236404578046415;0.08780954309205613;0.34529725456791316
14;0.3382284032423576;0.0869358235398806;0.355037872976869
15;0.32465983442348517;0.08607079764250579;0.4876389916969189
16;0.3116355902622334;0.08521437889662115;0.3809686653210612
17;0.29913383431167495;0.08436648165963838;0.40877281058414094
18;0.28713360612858296;0.0835270211411272;0.34232342167511076
19;0.2756147861311536;0.08269591339433624;0.3159659923271021
20;0.26455806186651615;0.0818730753077982;0.30934667415241934
21;0.253944895631476;0.08105842459701872;0.3280391399142108
22;0.24375749339220262;0.08025187979624786;0.29571701130841715
23;0.23397877495075348;0.07945336025033341;0.28942403249208076
24;0.22459234530841538;0.07866278610665535;0.3118601278605341
25;0.2155824671778505;0.0778800783071405;0.2768816633543547
26;0.20693403459796175;0.07710515858035663;0.28530608612574104
27;0.19863254760723897;0.07633794943368533;0.3427485364236137
28;0.19066408793312473;0.07557837414557256;0.27601047612682633
29;0.18301529565663935;0.07482635675785652;0.3105494318756383
30;0.1756733468131414;0.0740818220681718;0.29049357678530474
31;0.16862593189166963;0.07334469562242893;0.27200105529379853
32;0.16186123519681775;0.0726149037073691;0.26907532768704245
33;0.15536791503853992;0.07189237334319262;0.281694224941409
34;0.14913508471667433;0.07117703227626097;0.269940755035466
35;0.14315229426830214;0.07046880897187134;0.248479807496724
36;0.13740951294734038;0.0697676326071031;0.27474184743448266
37;0.13189711240699384;0.06907343306373546;0.25677896735372124
38;0.12660585055686924;0.06838614092123559;0.280764223106326
39;0.12152685606768725;0.06770568744981646;0.2437541766474154
40;0.11665161349761229;0.06703200460356394;0.2557852901686272
41;0.11197194901526338;0.06636502501363194;0.23078077326171695
42;0.10748001669546876;0.06570468198150568;0.25691144801687255
43;0.10316828536478852;0.06505090947233165;0.2324170434162277
44;0.09902952597474952;0.06440364210831415;0.2494513568636236
45;0.09505679948162328;0.06376281516217734;0.23255138406528564
46;0.09124344521242558;0.0631283645506926;0.2796527483490976
47;0.08758306969763274;0.06250022682827008;0.22919391095012895
48;0.08406953595189083;0.061878339180614084;0.2159636070470803
49;0.08069695318474655;0.061262639418441615;0.24637003030820884
50;0.07745966692414832;0.06065306597126335;0.229205117121952
51;0.07435224953615878;0.060049557881226595;0.2296541498721142
52;0.07136949112498404;0.05945205479701944;0.24133182226518157
53;0.06850639079806278;0.05886049696783552;0.2352840855288715
54;0.06575814828157009;0.058274825237398964;0.23265645867892956
55;0.06312015587227866;0.05769498103804867;0.2104174003365944
56;0.060587990712283865;0.05712090638488149;0.2281770260214987
57;0.05815740737364052;0.05655254386995371;0.22310940234672116
58;0.05582433074047852;0.055989836656540205;0.20741518209435877
59;0.05358484917666402;0.05543272847345071;0.2073161083891162
60;0.05143520796755042;0.05488116360940264;0.2091063547113911
61;0.049371803024824065;0.05433508690744998;0.2070590226231958
62;0.047391174843890015;0.05379444375946745;0.1987399285022175
63;0.04549000270366685;0.053259180100689724;0.20093841851129068
64;0.043665099099065914;0.052729242404304856;0.20108106794604594
65;0.041913404396820515;0.05220457767610161;0.2084865911531712
66;0.04023198170570494;0.05168513344916992;0.19284496719890673
67;0.03861801195254286;0.051170857778654245;0.20020434642831034
68;0.03706878915574938;0.05066169923655896;0.18373634339571757
69;0.035581715888482565;0.05015760690660556;0.1919760122223108
70;0.03415429892379762;0.049658530379140954;0.18729872218636456
71;0.03278414505450291;0.04916441974609651;0.18925832747978258
72;0.03146895708070884;0.04867522559599717;0.19321120461126393
73;0.030206529958342714;0.048190899009020245;0.19370124731131544
74;0.02899474710217194;0.04771139155210344;0.18914115219246538
75;0.027831576837137408;0.04723665527410147;0.19192304864919854
76;0.026715068992047175;0.04676664270099093;0.19155672953082648
77;0.02564335162991961;0.04630130683112281;0.18451118618788148
78;0.024614627909493956;0.04584060113052235;0.1956819124346873
79;0.023627173072646352;0.045384479528235586;0.1859945301512126
80;0.02267933155266054;0.044932896411722156;0.19625201141778995
81;0.02176951419850475;0.044485806622294115;0.19481973900272578
82;0.020896195610461236;0.044043165450599935;0.19816141446066596
83;0.02005791158264114;0.04360492863215357;0.19144845579577055
84;0.01925325664809707;0.043171052342907974;0.191021865520751
85;0.018480881722417256;0.04274149319487267;0.1984108461354107
86;0.017739491841850728;0.042316208231774885;0.19622396111180573
87;0.01702784399217116;0.0418951549247639;0.18631520844065005
88;0.01634474502463932;0.04147829116815814;0.19123667313766582
89;0.01568904965556995;0.04106557527523455;0.1953867170446322
90;0.015059658546149225;0.04065696597405991;0.19195389538225724
91;0.014455516459283365;0.0402524224033636;0.19483328961650037
92;0.013875610490388183;0.039851904108451415;0.1868739547415052
93;0.013318968369153339;0.03945537103716011;0.20311915884381643
94;0.012784656829433994;0.039062783535852116;0.1883643207516342
95;0.012271780044536827;0.03867410234545013;0.1895128557173909
96;0.01177947812527711;0.03828928859751121;0.186739434419933
97;0.011306925678288502;0.03790830381033988;0.1799310361057224
98;0.01085333042216863;0.03753110988513996;0.19216352243469217
99;0.0104179318591401;0.037157669102204575;0.192849797520908
