epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
1;0.5759300484132023;0.09900498337491681;0.9285320167945499
2;0.5528257011087225;0.09801986733067553;0.9315713675347684
3;0.5306482213393484;0.09704455335485082;0.9652315108282983
4;0.5093604263439178;0.09607894391523232;0.9032794268066254
5;0.48892662500670314;0.09512294245007141;0.8848580790849563
6;0.46931255801769023;0.09417645335842488;0.9216602175096956
7;0.4504853404334202;0.09323938199059484;0.8916717296083686
8;0.4324134065420961;0.09231163463866358;0.8947572346966837
9;0.41506645694051186;0.09139311852712283;0.8975471523827231
10;0.3984154077340755;0.09048374180359596;0.895584458199954
11;0.38243234177475316;0.08958341352965282;0.9034221799944727
12;0.36709046185517985;0.08869204367171575;0.8988906628446248
13;0.35236404578046415;0.08780954309205613;0.8994862400438766
14;0.3382284032423576;0.0869358235398806;0.8964349730946325
15;0.32465983442348517;0.08607079764250579;0.8937722261002305
16;0.3116355902622334;0.08521437889662115;0.8988891201385982
17;0.29913383431167495;0.08436648165963838;0.41882799237794366
18;0.28713360612858296;0.0835270211411272;0.4027284956999403
19;0.2756147861311536;0.08269591339433624;0.8955716069939291
20;0.26455806186651615;0.0818730753077982;0.38219758674455506
21;0.253944895631476;0.08105842459701872;0.9247133981002281
22;0.24375749339220262;0.08025187979624786;0.4197238812723218
23;0.23397877495075348;0.07945336025033341;0.37153471365983226
24;0.22459234530841538;0.07866278610665535;0.4154797455521979
25;0.2155824671778505;0.0778800783071405;0.6014234846340372
26;0.20693403459796175;0.07710515858035663;0.34498840305350165
27;0.19863254760723897;0.07633794943368533;0.33089675015440956
28;0.19066408793312473;0.07557837414557256;0.44569052782477014
29;0.18301529565663935;0.07482635675785652;0.3404381193268834
30;0.1756733468131414;0.0740818220681718;0.33498906077888274
31;0.16862593189166963;0.07334469562242893;0.34678702439223813
32;0.16186123519681775;0.0726149037073691;0.3304005062578426
33;0.15536791503853992;0.07189237334319262;0.3329751171408584
34;0.14913508471667433;0.07117703227626097;0.36071750722257917
35;0.14315229426830214;0.07046880897187134;0.3627809367585831
36;0.13740951294734038;0.0697676326071031;0.33575818521757145
37;0.13189711240699384;0.06907343306373546;0.3393255927418874
38;0.12660585055686924;0.06838614092123559;0.3394010326240212
39;0.12152685606768725;0.06770568744981646;0.3270314337737925
40;0.11665161349761229;0.06703200460356394;0.219562263316954
41;0.11197194901526338;0.06636502501363194;0.2609529601244262
42;0.10748001669546876;0.06570468198150568;0.2334657537101086
43;0.10316828536478852;0.06505090947233165;0.2257711381992164
44;0.09902952597474952;0.06440364210831415;0.240422543747275
45;0.09505679948162328;0.06376281516217734;0.1968471908711371
46;0.09124344521242558;0.0631283645506926;0.1953181939666733
47;0.08758306969763274;0.06250022682827008;0.2336234428981135
48;0.08406953595189083;0.061878339180614084;0.21775368011144863
49;0.08069695318474655;0.061262639418441615;0.1934170167883989
50;0.07745966692414832;0.06065306597126335;0.20011566140927164
51;0.07435224953615878;0.060049557881226595;0.16827264829419905
52;0.07136949112498404;0.05945205479701944;0.16605046721847924
53;0.06850639079806278;0.05886049696783552;0.1663282287869625
54;0.06575814828157009;0.058274825237398964;0.16675602969332845
55;0.06312015587227866;0.05769498103804867;0.1792900631478601
56;0.060587990712283865;0.05712090638488149;0.1637977416331448
57;0.05815740737364052;0.05655254386995371;0.1677038882561366
58;0.05582433074047852;0.055989836656540205;0.1677375542643318
59;0.05358484917666402;0.05543272847345071;0.16371312712698563
60;0.05143520796755042;0.05488116360940264;0.167420195009244
61;0.049371803024824065;0.05433508690744998;0.16482067317525542
62;0.047391174843890015;0.05379444375946745;0.1641691931079798
63;0.04549000270366685;0.053259180100689724;0.16626971047655364
64;0.043665099099065914;0.052729242404304856;0.16610456437649831
65;0.041913404396820515;0.05220457767610161;0.16867351103905856
66;0.04023198170570494;0.05168513344916992;0.16382530649863986
67;0.03861801195254286;0.051170857778654245;0.16348603117801844
68;0.03706878915574938;0.05066169923655896;0.1694672167671569
69;0.035581715888482565;0.05015760690660556;0.1655838700758345
70;0.03415429892379762;0.049658530379140954;0.16594811046286875
71;0.03278414505450291;0.04916441974609651;0.16604670356183848
72;0.03146895708070884;0.04867522559599717;0.16447834227454955
73;0.030206529958342714;0.048190899009020245;0.16379344873047255
74;0.02899474710217194;0.04771139155210344;0.1643340835949761
75;0.027831576837137408;0.04723665527410147;0.16756971093498257
76;0.026715068992047175;0.04676664270099093;0.16524388594933176
77;0.02564335162991961;0.04630130683112281;0.16948440493561842
78;0.024614627909493956;0.04584060113052235;0.16716626942928328
79;0.023627173072646352;0.045384479528235586;0.16732581558662957
80;0.02267933155266054;0.044932896411722156;0.1646777456519946
81;0.02176951419850475;0.044485806622294115;0.16548116777226762
82;0.020896195610461236;0.044043165450599935;0.16819799386386378
83;0.02005791158264114;0.04360492863215357;0.16415570613116526
84;0.01925325664809707;0.043171052342907974;0.16460687494612514
85;0.018480881722417256;0.04274149319487267;0.16556677399780734
86;0.017739491841850728;0.042316208231774885;0.16504007392265208
87;0.01702784399217116;0.0418951549247639;0.167917235605962
88;0.01634474502463932;0.04147829116815814;0.168506402617543
89;0.01568904965556995;0.04106557527523455;0.1688239145200617
90;0.015059658546149225;0.04065696597405991;0.1683431871982153
91;0.014455516459283365;0.0402524224033636;0.16610320999803682
92;0.013875610490388183;0.039851904108451415;0.16225725729991713
93;0.013318968369153339;0.03945537103716011;0.16876416231708988
94;0.012784656829433994;0.039062783535852116;0.16635542805260137
95;0.012271780044536827;0.03867410234545013;0.16667383532062238
96;0.01177947812527711;0.03828928859751121;0.1655082978067301
97;0.011306925678288502;0.03790830381033988;0.1642311564570032
98;0.01085333042216863;0.03753110988513996;0.16795097231348594
99;0.0104179318591401;0.037157669102204575;0.16555766275840675
