epoka;promień sąsiedztwa;współczynnik uczenia;błąd kwantyzacji
4;0.5093604263439178;0.09607894391523232;1.8100803657179065
5;0.48892662500670314;0.09512294245007141;1.8695561770780127
6;0.46931255801769023;0.09417645335842488;1.7946932613245286
7;0.4504853404334202;0.09323938199059484;1.7874335369410603
8;0.4324134065420961;0.09231163463866358;1.8879792357120802
9;0.41506645694051186;0.09139311852712283;1.8081567741488063
10;0.3984154077340755;0.09048374180359596;1.8035837521430576
11;0.38243234177475316;0.08958341352965282;1.8238889328318653
12;0.36709046185517985;0.08869204367171575;1.841790838052852
13;0.35236404578046415;0.08780954309205613;1.804522781620366
14;0.3382284032423576;0.0869358235398806;1.8070895030287906
15;0.32465983442348517;0.08607079764250579;1.8126939447623596
16;0.3116355902622334;0.08521437889662115;1.8368550000441406
17;0.29913383431167495;0.08436648165963838;1.8348219364096594
18;0.28713360612858296;0.0835270211411272;1.8335505850885427
19;0.2756147861311536;0.08269591339433624;1.811515115124735
20;0.26455806186651615;0.0818730753077982;1.8417515622033789
21;0.253944895631476;0.08105842459701872;1.853494421177426
22;0.24375749339220262;0.08025187979624786;1.806527432670861
23;0.23397877495075348;0.07945336025033341;1.8015426180802891
24;0.22459234530841538;0.07866278610665535;1.8109214124607593
25;0.2155824671778505;0.0778800783071405;1.8127087471014494
26;0.20693403459796175;0.07710515858035663;1.7957301362517006
27;0.19863254760723897;0.07633794943368533;1.81485012174805
28;0.19066408793312473;0.07557837414557256;1.8120022382855527
29;0.18301529565663935;0.07482635675785652;1.8105605549658097
30;0.1756733468131414;0.0740818220681718;1.8460732817114145
31;0.16862593189166963;0.07334469562242893;1.8086044546650941
32;0.16186123519681775;0.0726149037073691;1.8031885041885558
33;0.15536791503853992;0.07189237334319262;1.809850786535798
34;0.14913508471667433;0.07117703227626097;1.805684245588529
35;0.14315229426830214;0.07046880897187134;1.8199950534041345
36;0.13740951294734038;0.0697676326071031;1.8082411575338109
37;0.13189711240699384;0.06907343306373546;1.818499913336419
38;0.12660585055686924;0.06838614092123559;1.8090328077408027
39;0.12152685606768725;0.06770568744981646;1.7969200563842938
40;0.11665161349761229;0.06703200460356394;1.824848321299013
41;0.11197194901526338;0.06636502501363194;1.8047293518712955
42;0.10748001669546876;0.06570468198150568;1.8097808117278165
43;0.10316828536478852;0.06505090947233165;1.7858788815044149
44;0.09902952597474952;0.06440364210831415;1.7923566462417844
45;0.09505679948162328;0.06376281516217734;1.8140175986230567
46;0.09124344521242558;0.0631283645506926;1.8031188550539459
47;0.08758306969763274;0.06250022682827008;1.7906949492896562
48;0.08406953595189083;0.061878339180614084;1.7975590249204774
49;0.08069695318474655;0.061262639418441615;1.83022871907528
50;0.07745966692414832;0.06065306597126335;1.8062583040293403
51;0.07435224953615878;0.060049557881226595;1.8020855827208104
52;0.07136949112498404;0.05945205479701944;1.7903110116787198
53;0.06850639079806278;0.05886049696783552;1.7965313956991347
54;0.06575814828157009;0.058274825237398964;1.8105324460648435
55;0.06312015587227866;0.05769498103804867;1.7822045896011494
56;0.060587990712283865;0.05712090638488149;1.7974547525951274
57;0.05815740737364052;0.05655254386995371;1.8168719808636888
58;0.05582433074047852;0.055989836656540205;1.7937859246235979
59;0.05358484917666402;0.05543272847345071;1.7965689950773858
60;0.05143520796755042;0.05488116360940264;1.7930216195526314
61;0.049371803024824065;0.05433508690744998;1.7928291700637415
62;0.047391174843890015;0.05379444375946745;1.7935349126025566
63;0.04549000270366685;0.053259180100689724;1.7835988688529851
64;0.043665099099065914;0.052729242404304856;1.8004098189972502
65;0.041913404396820515;0.05220457767610161;1.8095722039117421
66;0.04023198170570494;0.05168513344916992;1.785711335285947
67;0.03861801195254286;0.051170857778654245;1.8003835206204668
68;0.03706878915574938;0.05066169923655896;1.7913570971121258
69;0.035581715888482565;0.05015760690660556;1.805003855557224
70;0.03415429892379762;0.049658530379140954;1.8066186826501711
71;0.03278414505450291;0.04916441974609651;1.7968485848855484
72;0.03146895708070884;0.04867522559599717;1.792083727337604
73;0.030206529958342714;0.048190899009020245;1.8221789141073719
74;0.02899474710217194;0.04771139155210344;1.7839995948912302
75;0.027831576837137408;0.04723665527410147;1.7956314982919308
76;0.026715068992047175;0.04676664270099093;1.7987584308186293
